A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/3.html.
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/3.html applies to these and all data available from the Mission China air quality monitoring program.

Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Guangzhou,PM2.5,2013-01-05 12:00,2013,1,5,12,34,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-05 13:00,2013,1,5,13,37,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-05 14:00,2013,1,5,14,35,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-05 15:00,2013,1,5,15,37,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-05 16:00,2013,1,5,16,39,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-05 17:00,2013,1,5,17,40,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-05 18:00,2013,1,5,18,40,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-05 19:00,2013,1,5,19,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,2013-01-05 20:00,2013,1,5,20,36,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-05 21:00,2013,1,5,21,34,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-05 22:00,2013,1,5,22,37,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-05 23:00,2013,1,5,23,40,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-06 00:00,2013,1,6,0,37,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-06 01:00,2013,1,6,1,37,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-06 02:00,2013,1,6,2,35,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-06 03:00,2013,1,6,3,34,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-06 04:00,2013,1,6,4,28,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-06 05:00,2013,1,6,5,33,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-06 06:00,2013,1,6,6,28,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-06 07:00,2013,1,6,7,30,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-06 08:00,2013,1,6,8,33,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-06 09:00,2013,1,6,9,30,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-06 10:00,2013,1,6,10,36,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-06 11:00,2013,1,6,11,36,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-06 12:00,2013,1,6,12,34,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-06 13:00,2013,1,6,13,42,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-06 14:00,2013,1,6,14,47,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-06 15:00,2013,1,6,15,54,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-06 16:00,2013,1,6,16,42,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-06 17:00,2013,1,6,17,43,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-06 18:00,2013,1,6,18,39,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-06 19:00,2013,1,6,19,46,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-06 20:00,2013,1,6,20,44,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-06 21:00,2013,1,6,21,50,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-06 22:00,2013,1,6,22,51,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-06 23:00,2013,1,6,23,54,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-07 00:00,2013,1,7,0,54,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-07 01:00,2013,1,7,1,52,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-07 02:00,2013,1,7,2,49,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-07 03:00,2013,1,7,3,45,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-07 04:00,2013,1,7,4,43,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-07 05:00,2013,1,7,5,47,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-07 06:00,2013,1,7,6,42,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-07 07:00,2013,1,7,7,41,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-07 08:00,2013,1,7,8,49,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-07 09:00,2013,1,7,9,43,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-07 10:00,2013,1,7,10,59,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-07 11:00,2013,1,7,11,62,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-07 12:00,2013,1,7,12,63,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-07 13:00,2013,1,7,13,86,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-07 14:00,2013,1,7,14,66,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-07 15:00,2013,1,7,15,72,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-07 16:00,2013,1,7,16,67,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-07 17:00,2013,1,7,17,61,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-07 18:00,2013,1,7,18,71,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-07 19:00,2013,1,7,19,86,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-07 20:00,2013,1,7,20,87,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-07 21:00,2013,1,7,21,92,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-07 22:00,2013,1,7,22,100,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-07 23:00,2013,1,7,23,110,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-08 00:00,2013,1,8,0,98,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-08 01:00,2013,1,8,1,81,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-08 02:00,2013,1,8,2,78,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-08 03:00,2013,1,8,3,69,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-08 04:00,2013,1,8,4,63,µg/m³,1 Hr,Valid
