A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/4.html.
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/4.html applies to these and all data available from the Mission China air quality monitoring program.

Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,2013-01-04 17:00,2013,1,4,17,49,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-04 18:00,2013,1,4,18,52,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-04 19:00,2013,1,4,19,45,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-04 20:00,2013,1,4,20,40,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-04 21:00,2013,1,4,21,42,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-04 22:00,2013,1,4,22,43,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-04 23:00,2013,1,4,23,51,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-05 00:00,2013,1,5,0,62,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-05 01:00,2013,1,5,1,59,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-05 02:00,2013,1,5,2,58,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-05 03:00,2013,1,5,3,58,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-05 04:00,2013,1,5,4,51,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-05 05:00,2013,1,5,5,47,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-05 06:00,2013,1,5,6,40,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-05 07:00,2013,1,5,7,37,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-05 08:00,2013,1,5,8,50,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-05 09:00,2013,1,5,9,40,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-05 10:00,2013,1,5,10,44,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-05 11:00,2013,1,5,11,42,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-05 12:00,2013,1,5,12,62,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-05 13:00,2013,1,5,13,65,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-05 14:00,2013,1,5,14,49,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-05 15:00,2013,1,5,15,64,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-05 16:00,2013,1,5,16,76,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-05 17:00,2013,1,5,17,73,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-05 18:00,2013,1,5,18,59,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-05 19:00,2013,1,5,19,54,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-05 20:00,2013,1,5,20,51,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-05 21:00,2013,1,5,21,47,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-05 22:00,2013,1,5,22,40,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-05 23:00,2013,1,5,23,41,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-06 00:00,2013,1,6,0,45,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-06 01:00,2013,1,6,1,44,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-06 02:00,2013,1,6,2,50,µg/m³,1 Hr,Valid
